archivo,tipo_agente,duracion_segundos,transcripcion
07c816c7-cb2b-4178-ab85-e501f1c38bd9.wav,ia,142.44,"de la ciencia. Aló, muy buenos días. Buenas, por favor. Sí, con él. Le ha de la área de embargos, judicializaciones y alivios financieros. Le llamo por su obligación. Cómo me le vas a ¿Cómo co? Le llamo para informarle sobre una deuda pendiente que usted tiene que entidad con la que se originó la obligación y que actualmente es la dueña de la misma. El valor total de la deuda es de 5.360.000 pesos. Hoy le queremos brindar una ayuda a través de una gran oportunidad y descuento y evitar así un proceso legal muy costoso en tiempo y plata para usted y nosotros. ¿Qué le tenemos? Excelente. Queremos ofrecerle un descuento del 7% de toda la deuda. Con el descuento ya no debería 5.360.000 pesos, sino sólo 4.960.000. Es una propuesta por tiempo limitado que vencería hoy mismo. ¿Me puede indicar con un sí o no si le interesa este descuento y hacemos un acuerdo de pago? No. ¿Me podría comentar cuál es su principal dificultad para llegar a un acuerdo hoy? Porque no cuento para el dinero. Entiendo perfectamente ese. La propuesta contempla el pago en una sola cuota, pero quisiera saber si en algún momento del mes podría contar con los recursos para ponerse al día y evitar un proceso legal. Sí, no te vas a escuchar ni. Perfecto. Entonces, para confirmar, ¿está de acuerdo con la propuesta de una cuota antes del 25 de julio de este mes? Me alegra que lleguemos a este acuerdo de pago y que pueda aprovechar el descuento del 7% de pago. Me autoriza de enviarle toda la información del acuerdo y los canales de pago por correo y whatsapp. No, no señor. Cuando cuente con el dinero, yo me de como digo con ustedes. Siendo su posición. Pero es importante que formalicemos el acuerdo hoy para que pueda mantener el descuento. Si no lo confirmamos ahora, perderte. No lo confirmamos ahora, perdería esta oportunidad."
0aef8aeb-0086-4f38-b53d-a771fc949c2b.wav,ia,85.1,"A lo. A lo. Muy buenos días. Buenas, por favor. ¿Quién la llama? Estamos llamando a por motivo de un proceso legal en curso. Por confidencialidad necesito que por favor me valides si es un. Sí, señora la orden. Habla. Le llamo por motivo de su obligación. Lo llamo del área de embargos, judicializaciones y alivios financieros. ¿Cómo me le vas? Bien, gracias alivios. Alivios. Excelente. Queremos ofrecerle un descuento del 33% de toda la deuda. Así le condonaríamos un total de 2.380.000 pesos. Con el descuento ya no debería 7.200.000 pesos. Si no solo 4.820.000 pesos. Además le puedo dejar que pague hasta en tres cuotas. Así serían tres pagos mensuales de 1.610.000 pesos cada uno. ¿Me recuerdas? Es una propuesta por tiempo limitado que vencería hoy mismo. ¿Me puede indicar con un sí o un no? Si le interesa este descuento. No, no, no podría. No podría acceder ahora mismo. Entiendo. ¿Cuánto podría pagar mensualmente entonces? Recuerde que el mínimo del acuerdo es de 4.800.000.000.000.000.000.000."
12fb0266-c7af-4439-b62b-e9ce0c2e947f.wav,ia,472.0,"Aló. Aló. Aló. Muy buenos días. Buenos días. Buenas. Por favor, c***. Sí. Señora Sánchez, le a*** del área de embargos, judicializaciones y alivios financieros. Le llamo por su obligación c***. ¿Cómo se encuentra? Gracias a***. Gracias. Gracias a***. Señora Sánchez, lo llamo porque sé que usted es una persona que quiere cumplir y quiero acompañarlo para que pueda hacerlo con tranquilidad. ¿Le puedo contar en un momento de qué se trata? Sí, claro. C***. Sé que usted quiere cumplir con sus compromisos y justamente por eso le traigo una salida para lograrlo. Por este motivo queremos poder ofrecerle alternativas para ponerse al día con su deuda. Y por eso, ¿Le interesa? Sí, dime. Excelente, señoras Sánchez. Queremos ofrecerle un descuento del 7% de toda la deuda. Con el descuento ya no debería 12.470.000 pesos, sino sólo 11.650.000 pesos. C***. Es una propuesta por tiempo limitado que vencería hoy mismo. ¿Me puede indicar con un sí o un no si le interesa este descuento? Sí, sí. ¿No? ¿Si le interesa este descuento y hacemos un acuerdo de pago? No, para el problema es que ahorita en este momento no tendría nada para pagar. Ya. Para hacer un pago anticipado o algo así, la verdad no tendría. Entiendo perfectamente. Pues porque como yo digo en este momento creo que un poco en su obligación porque digo como quien dice al día en este momento. Entonces ha sido muy complejo que puedes poder sostener una cuota fija de un pago y pues en estos últimos tiempos de feinos para acá en mi familia, con mis hijos en una calamidad. Pues me dedica de tratamiento largo y todo eso, pero es mucho más difícil. Entonces, ese ha sido realmente la situación conmigo que como en este momento yo no tengo algo fijo. Entonces, es bien, bien complejo. Le entiendo completamente y lamento mucho lo que ha vivido con su familia. Es una situación muy difícil. Cuénteme, en este momento tiene alguna posibilidad de hacer un pago antes de que termine este mes. Entiendo. Sin embargo, con este descuento del 7% su deuda solo 11 millones 650.000 pesos y puede pagarla hasta en una cuota. Es el mejor descuento que creo podría conseguir sobre esta deuda. ¿Puedes pagarlo? Por favor, indíqueme con un sí o no. Alo. Señora Sánchez. Alo. Sí, aquí estoy, ese... ¿Me puede escuchar bien? Sí, ahora sí. Alo. ¿Tiene alguna posibilidad de hacer un pago antes de que termine este mes de julio? No. Pues de cuánto sería el pago. Ya le doy los números exactos. La propuesta es por una sola cuota con un descuento importante sobre su deuda. ¿Le interesa escucharla? Sí, pues dímela si tengo la posibilidad de adecuarme. La propuesta es pagaron semillones 650.000 pesos en una sola cuota antes del 26 de julio. ¿Le sería posible? No, no sería posible. En este momento... Entiendo, señora Sánchez. Lamentablemente, esa es la única opción disponible en este momento. Podríamos coordinar una llamada para cuando su situación mejore un poco. ¿Qué día y hora le quedaría bien? Siento que estas opciones no les sirvan. Pero tranquilo, la propuesta es muy importante. ¿Cómo se puede hacer? Es una opción que no se puede hacer y que se puede hacer con la propuesta. Le puedo ofrecer un acuerdo de largo plazo. No habría descuento, pero usted puede poner el valor de la cuota. Con esto se para cualquier proceso legal y sobre todo la llamadera. Para dejar registro, ¿cuánto sería lo máximo que podría pagarme esa mes que se acomoda su presupuesto? Sí. Entre unos 50 y 70 mil pesos. Entiendo su situación. Sin embargo, para poder formalizar un acuerdo de largo plazo, necesitamos un valor un poco mayor. ¿Podría comprometerse con algo un poquito más alto? No, la verdad, en este momento... Eso es lo que te doy. Es... Con gran esfuerzo. Lo haría en este momento. Es que es por eso. Por eso es que... No, de verdad no he podido salir de esa deuda, pero es a raíz de lo que ya te cuento y que me quedaron muy complejos de sostener una cuota de 100 mil de 150, además de ahí. Yo no podía... Porque para que, si yo ya en algún momento hice acuerdos con ustedes de esos valores y termine incompliéndolos porque de verdad no podía. Entonces, es complejo... pues decir... Yo podría decir que sí. Y ya. Pero la verdad, la idea no es esa. Es salir de la deuda. La valoro mucho por su honestidad, de verdad. Dado lo que me cuenta, veo que hoy no se puede comprometer a un acuerdo. Correcto. Señoras anches, veo que no hemos podido aún llegar a un acuerdo. Pero entiendo que de todos modos a usted le interesa que solucionemos esto, correcto. Podemos sacarlo de centrales, darle un paz y salvo anticipado, entre otras cosas. Dígame algo, ¿qué lo motivaría usted a llegar a un acuerdo de pago? ¿O qué podríamos hacer desde Credivalores para solucionar esto juntos? Pueden pagar a las cotas que yo muevan. Que yo puedo, en este momento, obviamente, si yo pudiera pagar más. Yo sé que eso significa menos... menos interesa y más rapidez de poder salir de la deuda. Entonces... Pues yo no sé si me... si me puedo llamarme. Pues si no está jamás, no me tomo la chave de que es posibilidad de lo que te digo. Entiendo perfectamente, señoras anches. Exploraremos estos comentarios y lo estaremos recontactando pronto."
19b3eddf-e2d6-4b68-befc-bdb10a10719a.wav,ia,91.4,"A lo. A lo. Muy buenos días. Sí. Buenas, por favor. Con ella. Le llamo por motivo de su obligación con refinancia referente a un producto financiero. Lo llamo del área de embargos, judicializaciones y alivios financieros. ¿Cómo me le vas a hacer? Sí señor cuéntamelo. Bien, gracias. La deuda que usted tenía con refinancia fue comprada a... ¿Quiénes son los dueños actuales? La deuda total actual es de 2 millones 740 mil pesos. Hoy le queremos brindar una ayuda a través de una gran oportunidad y descuento y evitar así un proceso legal muy costoso en tiempo y plata para usted y nosotros. Me permite comentarles... Dígame que le estoy poniendo cuidado. La propuesta consiste en un descuento significativo sobre el valor total de la deuda para que usted pueda cancelarla de inmediato o en cuotas muy accesibles, evitando así que iniciemos un proceso legal que le traería costos adicionales y problemas jurídicos. ¿Le gustaría que le explique los detalles de este acuerdo o tiene alguna duda sobre la deuda antes de continuar? Esa deuda es de que deuda me estás hablando tú. Permítame atender sus dudas y..."
1a132947-7135-429f-ba15-825ac02ba601.wav,ia,434.20000000000005,"Hola, buen día. Habla con el señor Vallejo. De la área de embargos, judicializaciones y alivios financieros. Les llamo por su obligación como me le va a… Bien, gracias, adiós. Le informó que la deuda fue originada con… y actualmente es dueña de la misma, adquirida al acreedor original. Oíles que… Pero, escúchame primero, le voy a hacer una pregunta. Dicen que yo saqué una tarjeta, pero yo no me acuerdo de yo de saca o esa tarjeta. Entiendo su duda. La deuda correspondiente. Permítame atender sus dudas. Dígame. La obligación se originó el 24 de octubre de 2021 por un monto inicial de un millón 330 mil pesos. Actualmente tiene que… Pero escuchen esa tarjeta para que yo no entiendo y yo… eso es lo que a mí me tiene así como, no sé. Lo que tengo es que se trata de una obligación originada en 2021. Tiene alguna otra duda sobre la deuda o me permite comentarle la propuesta de acuerdo que tenemos hoy para usted. Sí, tengo otra duda, pero le estoy preguntando esa tarjeta para qué fue eso lo que yo le estoy preguntando. En el sistema me aparece como cartera del grupo 1, pero no tengo el detalle específico del producto. Lo importante es que hoy tenemos una propuesta para resolver esta obligación. Me permite comentarle el acuerdo que podemos ofrecerle. Sí, señor, dígame, me parece, porque a dos y eso me tiene como preocupado. Ya entiendo, mire, tenemos hoy una propuesta especial con un descuento considerable sobre la deuda. Me permite presentarle los detalles exactos del acuerdo. Sí, señor. Excelente. Queremos ofrecerle un descuento del 19% de toda la deuda. Así le condonaríamos un total de 490 mil pesos. Con el descuento ya no debería 2 millones 600 mil pesos, sino solo 2 millones 110 mil pesos. Además, le puedo dejar que pague hasta en una cuota. Así serían una pagos mensuales de 2 millones 110 mil pesos cada uno. Es una propuesta por tiempo limitado que vencería hoy mismo. Me puede indicar con un sí o no si le interesa este descuento y hacemos este acuerdo de pago. Tengo que darle 2 millones que digo. Ahí no le entendí lo que me dijo ahí. Sí, se escuchó. Le explican una sola cuota. Sí, una. Déjame explicarme. Explíqueme bien para yo entender la vaina. Claro. La deuda total es de 2 millones 600 mil pesos. Pero hoy le ofrecemos un descuento de 490 mil pesos y quedaría pagando únicamente 2 millones 110 mil pesos en una sola cuota. Le parece bien ese acuerdo? Tengo que enviarle 400. Y cómo hago yo para pagar eso? Aquí en número tengo que enviar eso. Con mucho gusto le ayudo con los medios de pago. Pero primero me confirma si acepta el acuerdo por 2 millones 110 mil pesos en una sola cuota. Si tengo que enviarle 400 que me dijo no. Es así. El valor del acuerdo es de 2 millones 110 mil pesos en una sola cuota. No 400 mil pesos. Puede comprometerse con ese valor. Pero está de 30 porque 30 es que yo cobre 30. Esa es gran problema que hay. Entiendo. Me está diciendo que no puede comprometerse con los 2 millones 110 mil pesos. Entiendo. Sin embargo con este descuento del 19 por ciento su deuda baja de 2 millones 600 mil pesos a 2 millones 110 mil pesos y puede pagarla hasta en una cuota de 2 millones 110 mil pesos. Es el mejor descuento que creo podría conseguir sobre esta deuda. Considerarlo por favor índíqueme sí o no. Pero como le comento para el 30. Entendido. Me está diciendo que podría pagar el 30 de julio. Me alegra que lleguemos a este acuerdo de pago y que pueda aprovechar el descuento del 19 por ciento. Me autoriza a enviarle toda la información del acuerdo y los cariño de pago. Sí señor por aquí. Sí señor. Que ya se me tiene preocupado. Yo no sé. No entiendo esa deuda. Perfecto para enviarle la información. Necesitó algunos datos de contacto. Me puede proporcionar un número telefónico alternativo. Este mismo es el mismo mío. Entendido. Me puede confirmar su correo electrónico. 2 27. Me puede repetir el correo completo incluyendo el arroba y el dominio por favor. Es que ahora si no me lo sé si usted me envía un poco de wasaíos se lo envió. Perfecto. Me puede confirmar tu dirección. Calle 15. Calle 15. Me puede proporcionar el resto de 4 24. Calle 15 número 4 24. En qué ciudad. Por venir. Por venir. Perfecto. Y prefieres ser contactado primero por llamada. Y ya por wasaíos te me puedes escribir o llamada. Bueno llamada casi no. Yo me la paso ocupada trabajando. Ese es el problema. Y siempre estoy en altura. Pero. Entendido. Me escribe yo le contesto. Entendido. WhatsApp. Recuerda que la primera cuota es el 30 de julio. Para finalizar la informa que esta llamada fue grabada y monitoreada. Todos los datos que están compartidos serán analizados y tratados bajo la ley 15 81 de 2012. Quedamos atentos al envío de la documentación que tenga un buen día. Hasta luego. Me crie."
239a604a-3b58-445a-bfb4-88113ba4f232.wav,ia,63.92,a los muy buenos días si diga bien buenas por favor departe quien? estamos llamando por motivo de un proceso legal en curso por confidencialidad necesito que por favor me valide si es sus no no soy yo pero es mi hermano disculpe para parar las llamadas confirmó que usted no es ni le conoce correcto? si le conozco porque es mi hermano por eso le pregunto de parte de quien nos llaman y para que sería? entiendo gracias por aclararlo me permites saber si su hermano está disponible en este momento para atenderle no el no está acá pero yo le puedo dar el número de él pero se le pregunto para que eso yo le doy poder la razón le agradezco mucho es por un tema financiero pendiente con credivalores me puede facilitar por favor el número actualizado de su hermano
293e667b-63e6-43e4-a811-06249526467a.wav,ia,91.0,"A lo. A lo. Muy buenos días. Sí, buenos días. Por favor, con el habla. Le hablo del área de embargos, judicializaciones y alivios financieros. Les llamo por su obligación con credit valores. ¿Cómo me le vas? Que obligas yo a estar con credit valores. Excelente ese... Queremos ofrecerle un descuento del 16% de toda la deuda. Así le condonaríamos un total de 1.730.000 pesos. Con el descuento ya no debería 11.020.000 pesos, sino sólo 9.290.000 pesos. Además, le puedo dejar la opción de pago aprobada por el sistema. Sería una sola cuota, es decir, un solo pago de 9.290.000 pesos. Es una propuesta por tiempo limitado que vencería hoy mismo. ¿Me puede indicar con un sí o un no si le interesa este descuento y hacemos este acuerdo de pago? No, no, señor. Yo, yo, Platán, creo que no le debo. No acuerdo que yo haya hecho préstamo con credit valores. No, no. Va, va. No. En este momento, no, no, no. Platán no le debo. No recuerdo el esplata. Entiendo, señor Osorno, es no."
3056dcb7-265d-42d8-a3c6-8bb2200860de.wav,ia,223.24,"Muy buenos días. Muy buenos días. Buenas por favor. ¿De quién? Estamos llamando a por motivo de un proceso legal en curso. Por confidencialidad necesito que p***le a p*** del área de embargos, judicializaciones y alivios financieros. Le llamo por su obligación con banco a p***. ¿Cómo se encuentra? Muy bien. P***le. Le cuento que muchas personas en una situación parecida a la suya ya lograron ponerse al día y seguir tranquilas. Me gustaría que usted también pueda. Le puedo contar en un momento. Como ya lo han hecho muchos clientes en su misma situación, regularizar esta obligación hoy es más sencillo de lo que parece. Por este motivo queremos poder ofrecerle alternativas para ponerse al día con su deuda. ¿Le interesa? Sí. ¡Excelente! Queremos ofrecerle un descuento del 16% de toda la deuda. Con el descuento ya no debería de 70 mil pesos, sino solo 60 mil pesos. Es una propuesta por tiempo limitado que vencería hoy mismo. Me puede indicar con un sí o un no si le interesa este descuento y hacemos un acuerdo de pago. Sí. ¡Perfecto! Tenemos la opción de pagar en una sola cuota antes del 13 de agosto. ¿Le es posible? Sí. ¿Me confirma entonces que acepta el acuerdo en una sola cuota para antes del 13 de agosto? Sí. Sí. Sí. Me alegra que lleguemos a este acuerdo de pago y que pueda aprovechar el descuento del 16% por si. Me autoriza de enviarle toda la información del acuerdo y los canales de pago por correo y whatsapp. ¡Perfecto! Sí. ¡Perfecto! Primero necesito confirmar con… Señor Sanchez, por favor me confirme usted la fecha de pago. Es antes del 13 de agosto de 2026. ¿Correcto? Sí. ¡Perfecto! ¡Perfecto! Ahora necesito un número telefónico alternativo suyo. No, solo tengo ese. Entendido. ¿Me confirma su correo electrónico? El c*** consideró una radio. Perfecto. Ha notado. ¿Me confirma su dirección completa incluyendo la ciudad? Ese es c***. La cara tiene un buen clatura. ¿Y la ciudad, señor Sanchez? Fue de allí. ¡Perfecto! ¿Por qué canal prefiere ser contactado primero? ¿Whatsapp o correo electrónico? Uazaa. El sistema le confirmará ahora el cierre del acuerdo. Para finalizar, le informo que esta llamada fue grabada y monitoreada. Todos los datos compartidos serán analizados y tratados bajo la ley 1581-2012. Enviaremos la documentación próximamente. Que tenga un buen día, c***. Hasta luego. Gracias."
3147bab7-9e7f-496d-ae97-52b280194924.wav,ia,201.0,"Buenas tardes. Aló, muy buenos días. Muy buenas tardes. Buenas tardes. Aló, si señor. Le llamo por motivo de su obligación con banco doble u referente a un microcrédito. Lo llamo del área de embargos, judicializaciones y alivios financieros. ¿Cómo me le va señor José? Mi primero que todo, yo hace mucho rato con ustedes el banco doble u. Y este no es el celular de la persona que usted me está mencionando. Yo ya repití a veces, le he hecho peticiones al banco doble u, que por favor verifique los números de celular de ese c***. Hasta llámeles el apellido porque siempre me están llamando a toda hora. La verdad yo conozco ese señor, este celular es personal, hace muchos años lo tengo. No sé por qué el banco doble u tiene mi número de celular como contacto de esa persona. Por favor verifiquen ese número no corresponde a la persona. Yo ya he hecho varias veces la reclamación, he ido hasta el banco, no sé ya qué hacer. Me toca responder, hacer un derecho a petición porque ya es una cosa muy insólita con ustedes que no entienden eso. Permítame atender sus dudas ese c***. Es que yo no soy el c***, entienda. Yo no soy el c***, no desconozco ese señor. Por eso más de dos años me daban venido llamando a mí preguntándome por ese c***. Y yo les he dicho que yo no soy ese c***. Este es un número de celular privado personal, hace muchos años que yo tengo. Entonces no entiendo por qué ustedes tienen esa información equivocada. Entiendo su situación y le pido disculpas por las molestias causadas. Si usted confirma que no es c***. Sí, pues es que la verdad es que yo ya estoy cansado de decirle lo mismo a todo el que me llama de ese c***. Incluso fui a la 42, donde tenía en la oficina de c***, que tienen por la quinta. Le hice, le hice, mire, yo no soy ese señor. Y este es mi número de celular que me vi en mandando mensajes que no sé qué, que si sé cuándo, a toda hora. Yo no soy ese señor, por favor. Miren, verifiquen, busquen a señor o cuando aparezcan el banco, haganlo por correo certificado. Yo no soy esa persona, no sé por qué tienen nuevamente y volvieron. Ya dejaron, un año habían dejado llamarme y otras volvieron con el mismo tema. Entonces yo no entiendo ese tema de ese número celular que no corresponde a la persona que están llamando. Y para mí es muy cómodo. Viene todo lo que yo le gasto, yo en este momento estoy dando. Le gasto tiempo y siento lo mismo. Entonces de verdad que eso es incómodo y le digo yo, no soy esa persona que están llamando a este número celular. No corresponde a la persona. No sé por qué tiene mi número celular en ese banco con esa persona. No sé por qué. No sé, no, no, no, no hay otra razón. Este celular lo tengo ya hace más de 10 años. No sé por qué tiene el número usted. Yo no tengo ninguna obligación, ningún vínculo comercial con el c***. Entiendo perfectamente su molestia y le ofrezco disculpas por esta situación. Voy a tomárnate inmediatamente para que... Retiren su número de nuestra base de datos y no vuelva a ser contactado. Lamento mucho."
32616618-6ce3-484f-a1d9-c014394a3492.wav,ia,66.4,"¿Donde estás? Buenos días. Buenas, por favor. No, aquí. Estamos llamando por un proceso legal. Pero es… pero se ha equivocado. Entiendo. ¿Conocía a las c******? ¿Tiene algún contacto con ella? No, ni sé quién será ese diablo. Perfecto. Entiendo. Gracias su tiempo. Vamos a actualizar nuestros registros. Que tenga un buen día. Bueno, que se. Que tenga un excelente día. Hasta luego. ¿Qué más dices que coja? Mi nombre es... Con quién tengo el gusto de hablar."
