variable,etiqueta,categoria_analitica,tipo_variable,n_human,n_ia,missing_human,missing_ia,valor_human,valor_ia,diferencia,unidad_diferencia,intervalo_confianza,test,p_value,effect_size,interpretacion,incluir_reporte,nivel_prioridad,justificacion
acuerdo_pago,Acuerdo formal de pago,A. MÉTRICA PRINCIPAL DE DESEMPEÑO,Binaria (0/1),50,50,0,0,14.0% (7/50),4.0% (2/50),+10.0,puntos porcentuales (Humano - IA),"[-1.0%, 21.0%]",Prueba Exacta de Fisher (bilateral),0.159505,Cohen's h = 0.364,"Tendencia observada favorable a Humano, no significativa bajo alpha=0.05 (p=0.1595)",SI,ALTA,Métrica de resultado culminante de cobranza
oferta_pago,Oferta formal de pago,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,52.0% (26/50),74.0% (37/50),-22.0,puntos porcentuales (Humano - IA),"[-40.4%, -3.6%]",Chi-cuadrado con corrección de Yates,0.038337,Cohen's h = 0.461,Diferencia estadísticamente significativa (p=0.0383 < 0.05),SI,ALTA,Mide adherencia al protocolo operativo del agente
intencion_pago,Intención verbal de pago,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,24.0% (12/50),2.0% (1/50),+22.0,puntos porcentuales (Humano - IA),"[9.5%, 34.5%]",Chi-cuadrado con corrección de Yates,0.002944,Cohen's h = 0.740,Diferencia altamente significativa (p=0.0029 < 0.01),SI,ALTA,Mide efectividad persuasiva sobre la disposición del cliente
negociacion,Negociación de alternativas,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,48.0% (24/50),70.0% (35/50),-22.0,puntos porcentuales (Humano - IA),"[-40.8%, -3.2%]",Chi-cuadrado con corrección de Yates,0.042031,Cohen's h = 0.452,Diferencia estadísticamente significativa (p=0.0420 < 0.05),SI,MEDIA,Mide exploración interactiva de plazos y cuotas
tiene_descuento,Ofrecimiento de descuento,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,44.0% (22/50),70.0% (35/50),-26.0,puntos porcentuales (Humano - IA),"[-44.7%, -7.3%]",Chi-cuadrado con corrección de Yates,0.015356,Cohen's h = 0.532,Diferencia estadísticamente significativa (p=0.0154 < 0.05),SI,MEDIA,Mide uso de incentivo económico como palanca
contactabilidad,Contactabilidad efectiva,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,98.0% (49/50),92.0% (46/50),+6.0,puntos porcentuales (Humano - IA),"[-2.5%, 14.5%]",Prueba Exacta de Fisher (bilateral),0.362178,Cohen's h = 0.290,Sin evidencia suficiente de diferencia entre grupos (p=0.3622),SI,MEDIA,Mide filtro inicial de llamada útil vs buzón
tiene_objecion,Presencia de objeción,C. MÉTRICA EXPLORATORIA,Binaria (0/1),50,50,0,0,16.0% (8/50),10.0% (5/50),+6.0,puntos porcentuales (Humano - IA),"[-7.1%, 19.1%]",Chi-cuadrado con corrección de Yates,0.552043,Cohen's h = 0.180,Sin evidencia suficiente de diferencia entre grupos (p=0.5520),SI (Secundaria),BAJA,Mide fricción del deudor durante la llamada
manejo_objecion,Manejo de objeción,C. MÉTRICA EXPLORATORIA,Binaria (0/1),50,50,0,0,10.0% (5/50),10.0% (5/50),+0.0,puntos porcentuales (Humano - IA),"[-11.8%, 11.8%]",Chi-cuadrado con corrección de Yates,0.738883,Cohen's h = 0.000,Sin evidencia suficiente de diferencia entre grupos (p=0.7389),NO (Excluir reporte ejecutivo),BAJA,"Tasas idénticas (10% vs 10%), baja varianza"
inconsistencia_matematica_acuerdo,Inconsistencia matemática en diálogo,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria (0/1),50,50,0,0,4.0% (2/50),10.0% (5/50),-6.0,puntos porcentuales (Humano - IA),"[-15.9%, 3.9%]",Prueba Exacta de Fisher (bilateral),0.436032,Cohen's h = 0.241,Sin evidencia suficiente de diferencia entre grupos (p=0.4360),SI,MEDIA,Mide calidad y rigor aritmético del discurso del agente
dificultad_pago,Expresión de imposibilidad de pago,C. MÉTRICA EXPLORATORIA,Binaria (0/1),50,50,0,0,8.0% (4/50),8.0% (4/50),+0.0,puntos porcentuales (Humano - IA),"[-10.6%, 10.6%]",Prueba Exacta de Fisher (bilateral),1.0,Cohen's h = 0.000,Sin evidencia suficiente de diferencia entre grupos (p=1.0000),NO (Excluir reporte ejecutivo),BAJA,Tasas idénticas (8% vs 8%)
aceptacion_pago,Aceptación explícita de propuesta,C. MÉTRICA EXPLORATORIA,Binaria (0/1),50,50,0,0,2.0% (1/50),2.0% (1/50),+0.0,puntos porcentuales (Humano - IA),"[-5.5%, 5.5%]",Prueba Exacta de Fisher (bilateral),1.0,Cohen's h = 0.000,Sin evidencia suficiente de diferencia entre grupos (p=1.0000),NO (Excluir reporte ejecutivo),BAJA,"Poder estadístico nulo (solo 2 casos positivos en total, 1 H y 1 IA)"
objecion_resuelta,Objeción resuelta con acuerdo,E. VARIABLE QUE DEBE EXCLUIRSE,Binaria (0/1),50,50,0,0,0.0% (0/50),0.0% (0/50),+0.0,puntos porcentuales (Humano - IA),"[0.0%, 0.0%]",Prueba Exacta de Fisher (bilateral),1.0,Cohen's h = 0.000,Sin evidencia suficiente de diferencia entre grupos (p=1.0000),NO,NULA,Varianza cero (0% en ambos grupos)
duracion_segundos,Duración total de llamada,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Numérica continua/conteo (segundos),50,50,0,0,"Med=236.7, Mdn=168.0, DE=200.8","Med=217.9, Mdn=148.5, DE=151.3",+19.5 (Mediana H - IA),segundos (Humano - IA),"IQR H=[155.0], IA=[220.5]",Mann-Whitney U (No paramétrica),0.327618,Rank-biserial r = 0.114,Sin evidencia suficiente de diferencia en distribución (p=0.3276),SI,ALTA,Mide eficiencia en tiempo de conversación
