archivo,tipo_agente,duracion_segundos,transcripcion
0445c357-e465-49ae-8067-bfa91d11b532.wav,humano,308.56,"y ¿Y quién la necesita? Eh, mire mucho gusto, mi nombre es... ...lo comunicó de... ...nos comunicamos porque realizamos un acuerdo de pago con ella y para hoy tenemos la cuota estipulada. Queremos confirmar si contamos con este pago para el día de hoy. ¿Al día de hoy? ¿Cuándo podemos contar con el pago? La cuota está por el... Acuerdo, está por 800 mil pesos, dos cuotas, cada una por 400 mil pesos. Queremos confirmar que pues que fecha dentro del mes puede realizar el pago. Sí, para el otro mes. Y este mes puedes hacer una 1 para mantener el descuento de 100 mil pesos. Y pues se disminuye la cuota para el próximo mes. No, porque ahorita no tengo, tengo que esperar después de fin de mes si me cae el plato. Para el siguiente mes. Ok, tú vas a empezar, plan de a unos por... ...un no con un valor en específico. Sí, es para validar el sistema porque acá en el sistema te aparecen dos pagos cada uno de 400 mil pesos. Entonces pues si de pronto no cuentas con el dinero vas a empezar a incumplir la fecha de pago. Entonces no decide pronto te puedo ofertar un plan de pago donde la cuota que como un poquito más baja para que lo puedas cancelar. Sí, claro. Ok, mira, entonces te podemos ofrecer un plan de pago de cuotas a seis cuotas cada una por un valor de 133 mil 300. Ese valor te queda accequible. Sí, claro. Listo, entonces estos 133 mil pesos puedes cancelar la primera cosa el 31 de julio y te quedaría del 30 de cada mes. 31 de julio de agosto, septiembre y así sucesivamente. Mmm... Podría hacer como para los cinco. Los cinco? Ok. Sí, más siempre te pases la fecha de mes iniciando el mes. Ok, bueno, te voy a dejar entonces el pago los cinco... En este caso te iniciaría entonces el plan de pago el 5 de agosto. Es de gran importancia el cumplimiento. Te quedan seis cuotas cada una por ciento, 33 mil 300. Bueno. Esto 33 mil 300. Sí, sí señora, este pago lo puedes realizar por medio de... O por medio de especty con el número de convenio en referencia vas a colocar tu número de sádula. El acuerdo te llega actualizado el día de hoy en el transcurso pues del día. Te llega actualizado tu whatsapp indicando pues las seis cuotas y cada una por ciento y 33 mil. Ah, bueno. Algo alza y yo paso por el pete. Sí, sí señora, ahí con el número de tu sádula indicas el valor. Obviamente en algunos casos te va a aparecer otros valores como inferiores o superiores. Solamente le dices a la cajera que lo modifique al valor de la cuota porque muchas veces esos valores que aparecen ahí son las cuotas que vienen o que han venido cancelando pues anteriormente cuando iniciaron con el crédito. Bueno. Ah, bueno, ese es el budo. Señora. Ese es el budo. Sí, sí señora, ahí con el número de convenio te dicen Luxury. Es la compañía nueva dueña de la cartera. Entonces ahí te va a aparecer un convenio llamado Luxury y ahí te dicen que es... y ahí ya con tu número de sádula aparece. Y hoy las cotas son seis cotas. Sí, son seis cotas cada uno de ciento, treinta y tres mil, tres cientos. Ah, bueno, que ahí me parece bien. Y ya cuando cancelas y nos envías algo al... que te llega el acuerdo de pago, nos envías el soporte de pago para la aplicación. Ah, bueno, y eso es donde queda. La compañía de la cartera de... E... En este momento queda en la ciudad de... nosotros estamos operando via llamada. Ya si tú quieres investigar todo el tema de la compañía y demás te puedo enviar el... no puedes verificar y que es el registro impresario al único. Ahí puedes validar la matrícula que se activa y pues toda nuestra razón social. También nuestros números de contacto. Ah, bueno, me pueden enviar ahí entonces. Y dentro del acuerdo de pago está toda la información de la empresa. Está el... los líneas de comunicación. Bueno. Está perfecto. Bueno, muchas gracias que estemos muy bien y quedamos atentos al pago. Hasta el río. Bueno, así señalito."
09115a4a-ac50-4425-9dbc-b551a0b5342c.wav,humano,87.0,"Bueno, días por favor las niñores les alejan. Sí, con ella. Como está nuevamente le habla. Por el tema de la obligación originada inicialmente con el. ¿Cómo se encuentra el día de hoy? Bien, gracias. Quiero contar que en ese momento nos generaron la aprobación del pago total de los 10 millones de pesos. En este caso, pues ante la principal escuelas remitir a sumerse el acuerdo de pago formal con el descuento aprobado por parte del. Ustedes me informó que realizaría el pago el día 31 de agosto. A tener uno antes de esa fecha o necesariamente sería hasta si ya que lograría conseguir todo el dinero? Sí, hasta si ya porque pues necesito en estos días gestionar pues todo el tema. Porque pues no lo tenía contemplado. Entonces necesito gestionar. Listo. Entonces es perfecto. Yo ya le voy a enviar a sumerse el acuerdo de pago formal. ¿Hay este mismo número sumerse maneja WhatsApp? Sí, sí, está en el mismo número. Listo. Entonces hay este mismo número le enviar el acuerdo de pago formal y queda atentado en vivo el comprobante de pago cualquier inquietud o novedad con gusto será tendida. Me puede escribir por WhatsApp o también me puede llamar a ese mismo número. Vale. Vale. Gracias por haber atendido la llamada y que tengo un excelente interés. Que estemos bien. Gracias."
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.wav,humano,102.0,"41 21 1 ¿AdEx? ¿Cómo están? Bien, bien. Pero bueno. ¡Halo! ¡Muy buenas tardes! ¡Hala! ¡Sí señora! ¡Muy buenas tardes! ¿Y me están a volver cómo le ta con don Luis Aves? No se le entienden, las escuchas súper basito. No se la entienden. No se me da nada de nada. ¿Y a quién le ta con don Luis Aves? ¿Y a quién le ta con don Luis Aves? ¿Y a quién le ta con don Luis Aves? No, señorita, en el momento él no se encuentra como para qué sería. Sí, lo que pasa es que esta mañana hable con él el nínvico que lo llamaran este horario. Usted habló con él y él le dijo que lo llamara como en este horario. ¿Y eso como para qué sería, señorita? Sí, él se va a hacer caer una información del banco Bogotá. Ah, del banco Bogotá. Bueno, chica, las que en el momento él no se encuentra, ven mami, ven. ¿Y a qué hora él lo puede llamar? Bueno, señorita, el cebo por allá a ver una entrevista de trabajo, no sabría decirle. Bueno, sí, señorita, muchísimas gracias, señoría Mábrez. Bueno, sí, señorita, hasta luego."
0c6ada7d-d8c5-4840-ae79-0d8d573183dc.wav,humano,140.74,"version de el specimen. Hoy ellama en una recommendations me scholarshipó la Después del tono, grave su mensaje. Su grabación llegó al tiempo límite para evitar marque 1, para enviar marque 2, para las opciones de entrega marque 3. Para editar marque 1, para enviar marque 2, para las opciones de entrega marque 3. Adiós."
0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,humano,589.0,"Bueno, buenas tardes. Buenas tardes. Sí, me comunico con el señor... Sí, señora. Como está, me comunicó en el partido de actores y... ¿Dónde finalizan un record de autoridad para ocupar el día de mañana? Esto, señorita, es que ustedes me llaman y me dicen... Y yo me quedo esperando a donde tengo que ir a hacer el pago. Me dicen que me envían a... Y nunca me llegan a... Es decir, ¿el acuerdo que ese gestión no le lleva a su correo electrónico? No, señora, a mí no me llegan a ni al correo ni a... Permitamente, desde en este momento, sin... En línea, le indicó que tenemos el correo activo... No lleva 84 robajimeal.com Sí, señoras. Entonces permítame que se me muese un instante seleccionando para hacer el envío de manera automatizada. Por favor, reíso a ti, les de iguales pan o directamente a su correo correspondiente. Ya reíso. Permítame, por favor. Permítame si se lo muese. Ya me está cargando el sistema. ¿Y por qué lo envían a... Permítame, entonces ya voy a solicitar el respectivo envío. Ya le acabo de enviar a través del correo electrónico el acuerdo. El acuerdo va a remitir como el acuerdo que el correo electrónico le lleva a su correo electrónico. El acuerdo va a remitir con fecha que se va pues para el 31 de julio, pero como se portegó para el 15 de agosto, se les mantiene esa fecha en el sistema. Sí, pero ¿sabes la cuenta que había nos quedado que eran 350 y lo otro restante? Claro, sí, señora, dos cuotas. Mmm. Se envió a dos cuotas cada una de 350 mil pesos. Sí, señora, ven y a mí no me hacen más rebaja. Pues ¿qué pasa? ¿Cómo ese valor ya se pasó? ¿Cómo tal directamente acomité? Es el valor que ya se ha aprobado y prevé aprobado desde el mes de julio. De hecho, la acordeza es el 31 de julio y se le ha sostenido hasta el mes de agosto, hasta el día de mañana, 15 de agosto, desde el comité que se aprobó. Eso pasa por gerencia. Entonces, por eso se le ha sostenido la misma alternativa de pago. De los 350 mil pesos. Sí, señor. ¿Y a dónde puedo ir a cancelar eso? Directamente en el acuerdo se le va a emitir en la segunda página el portal de pago directamente de Logros Factor, donde si usted lo abre el acuerdo directamente desde su celular le va a dar click a la página 2 y lo va a remitir directamente al portal de pago de Logros o va a ingresar al... Perdón, perdón, acá ya lo estoy mirando. Y le estoy dando para abrir y me dice, la descarga está inhabilitada. Permítame. Por eso yo le digo que me lo envíe en el correo porque es que ahí no mide, no me dejo abrir. Listo, permítame, entonces ya voy a solicitar. Ah, sí, entonces se le va a remitir y se le va a prosiegar la fecha para el día mientras resolución la permita. Para el día martes 18 de agosto la fecha de pago, listo, para nuevamente remitírselo hoy en horas de la tarde, remitir el acuerdo. Ah, ok. Pero entonces que me llegue porque, o sea, la otra vez me quedé ahí esperando, yo no tengo a dónde llamar porque no, ustedes no tengo un teléfono y es donde llamar. Ese número que usted me está llamando me dice que es un número, pero ahí no me deja volver llamar. Entonces ya, ya le escribo a través de WhatsApp, le voy a validar como una notificación de recordatorio para tener un número y a través de ese WhatsApp usted puede comunicarme si había llamado a... Ok. Listo. Listo. Listo. Entonces no quiero más, pero el acuerdo no se lo deja abrir, ¿cómo está? No, no me deja, dice que ese archivo no se puede abrir, está enabilitado, dice que está enabilitado. Ya acuerdo, permitamente ya gestiono con el área encargada para poder habilitarle un nuevo acuerdo. Mire dice, la descarga está enabilitada para proteger tu información, se habilitó la descarga de archivos a juntos, pero no me deja abrir, le voy a aceptar y no me deja ver nada. Ah, perfecto, permitamente ya solicito para que les actíe el diamarte nuevamente, reactíbarlo para brindarle la acecha de par, para el diamarte. Ok, bueno ok, pero por favor, entonces que de fecha, porque acá me está operando. Ya le sé acá remitiendo a través de WhatsApp, ya le voy a remitir a través de un mensaje para tener un número y que usted se pueda comunicar. Si, porque, qué va ahí esperando y después dicen que soy yo la que incumplo. Dice señora, permítame. Ya le sé acá abilitando el número. Bueno, así es, entonces ya le voy a enviar el mensaje para que tenga mafia del número y hacer la gestión. Permítame. Le voy a enviar como un estilo recordatoria de pago con la fecha del 18, listo? Mientras logramos solucionarlo y lo acuerdo, porque sí, una vez que la gente la información aparecía activo, pero el archivo usted no se lo deja descargar y entonces voy a... Listo. ¿Listo? Ya estoy acá, permítame. Listo. Listo, le acaba de remitir el mensaje de enxxx, entonces a través de enxxx podemos tener la comunicación directamente, listo? Listo. Listo, señor. Entonces muchas veces por haber atendido mi llamada, ya me voy a ir con la fecha de pago en el sistema, listo? Y voy a remitir. Una pregunta, si yo logro conseguir los 700, los puedo pagar de una vez? A la otra de lado. Pues si usted gusta ese... Vamos a hacer algo, gestione porque qué pasa, si yo llevo a pasar el acuerdo por dos cuotas, qué va a pasar? Como es un sistema, ese sistema utilizado pudo ver que el acuerdo tiene que ser o sí, ser sobre la fecha, acá parece a tío, pero si el archivo no la deja ingresar. Sí. Bueno, como está dos cuotas o se llega a conseguir los 700, pues si se llega a como tal, a pagar, le quedaría pues faltando una cuota. Entonces al momento que solicita el PASI Salvo, tienen que aplicar el pago y es un poco más ardido el proceso. Entonces sería... Pago las dos cuotas, una ahorita el 15 y la otra el 30. Del mismo mes de agosto? Señor. ¿Pago genera el pago en el mismo mes de agosto de los 700, sí? Sí. Oye, ¿sabes qué? ¿Para cuándo quedó la otra cuota? Es que como se permitan, es que se ha quedado para Julio y la otra era para Agosto, pero entonces se puede nuevamente solicitar el acuerdo a una sola cuota de los 700 mil pesos. Si le parece mejor. No, porque, o sea, no está seguro, por eso le decía. Porque no estoy segura si los consiga. Pero entonces la otra cuota que había para cuándo? Sí queda dos cuotas. Permítame, ya le he valido la información. ¿Qué haría para el próximo mes sobre la misma fecha el 15 de septiembre? Pero bueno, listo. Si se logra conseguir el valor... No, sí, sí me sirve. ¿Le sirve mejor así? Sí, sí, señora. Listo, listo. Entonces, en ese orden de ideas, vamos a gestionar el proceso para no me interactivar y el acuerdo, listo? Bueno, listo. Bueno, entonces quedó muy atenta, ya le envíe un mensaje de agua para tener una comunicación más directa y ya modificó acá el sistema la fecha de pago para el 18. Entonces me solucionó como tal lo he envío el acuerdo, listo? Listo, ok, sí, señora. Bueno, hasta luego. Hasta luego. Hasta luego."
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1.wav,humano,223.74,"Aló. Buenas tardes señor, usted habla con la de es嫦adita su un mil y un doscientos veintinueve mil pesos. El día de hoy tenemos opciones de pago para que usted quedara con su obligación. Tenemos una opción de pago con descuento, un pago único de mil y un cincuenta mil pesos y usted quedaría con sus obligaciones. O puede pagar a cuotas pagando el total de su deuda. ¿Cuál de las opciones de pago? ¿Cuotas? ¿A cuotas? Sí. ¿De acuerdo? Permita un momento, ya ha valido en cuántas cuotas nos dejan dividir. No lo dejan dividir en tres cuotas en millón, doscientos veintinueve mil pesos. Cada cuota le que haría por cuatro cientos diez mil pesos. ¿No me quedé imposible para reunir ese monto? No. No, no, no, no. Me queda imposible para reunir ese monto. ¿En qué se puede que se pueda? Esas cuotas máximas que no nos dejan dividirse. ¿Cuánto se podría comprometerte a pagar mensualmente? No, no, no. Ahorita sería por tres mil pesos. ¿Se podría comprometer a pagar mensualmente? Pues el monto si el mil tres es mensuales. Para poderlo pasar por comité por lo menos uno doscientos mil pesos a ver si no lo aprueba. No, no, no. No, la verdad, no, no, no, no. No tengo, no tengo capacidad para todo, para ese monto mensual, para que me comprometo para quedar mal. Comprendo. Voy a pasarlo por comité. Me estaría comunicando nuevamente. Bueno, si es tan amable, me escribes por, por bien porque es que mantengo a veces como ocupado y no les contesto cuando me llaman, yo. Comprendo. Sí. Entiendo. Yo no paso. Y si no me contesta por vía de, por este medio me comunico. Le doy la respuesta. Listo. Muchas gracias. Si nos aprueban el pago de cien mil pesos para cuando se realice sería el primer pago. Para el máximo el quince, este mes de julio. El quince de julio. Perfecto. Sería los quince de cada mes. De acuerdo. Gracias. Por acender la llamada, recuarte que la hablo mariza. Tengo una excelente tarde. Bueno, muchas gracias. Hasta luego."
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,humano,158.0,"Buenas tardes. Buenas tardes. Buenas tardes. Buenas tardes. Mucho gusto a la Cui Maria. Como 50 al día de hoy. Bien, y usted. Bien, gracias. El día de hoy me estoy comunicando referente a un compromiso de pago que usted tenía para el día 15 de agosto por 60 mil pesos, según su obligación. Estamos baleando en el sistema de la Cui Maria. ¿Se realizó este pago? No, no, en el momento te van a la realizar. Comprendo, señor Alejandro, por qué motivo? Porque no puede conseguir la plata porque estoy desempleado en el momento. Señora, pero esta es la por temería de que usted quedaría con su obligación. Yo son 60 mil pesos y ya quedaría a paz y salvo. ¿Son cuántos? 60 mil pesos y... Ok, ok. Nosotros a su WhatsApp como su correo eletrónico enviamos el acuerdo de pago. ¿Se recibió ese c***? Sí, sí, yo sí. ¿De acuerdo se c*** realizaría el pago el día de hoy? No, sí, como le digo, que se desempleó me... no es que le trae difícil en el momento. Comprendemos el c***, pero usted le aplicó un descuento sobre el valor de su deuda y con sólo 60 mil pesos que haría el día para cuando se podría realizar ese pago para no pierdar los beneficios. ¿Será que nos podría pagar 30? Que le paguen a mi hermanito y yo al igual que nos preste. El c*** por el 30 este mes. Comprendo, si c***. Corremos la fecha para el día 30, pero es importante dar un cumplimiento el día 30 de agosto a este acuerdo de pago porque si no ya se cancelará y usted pierderá todos los beneficios que hay reportados de centrales de riesgo, si c***. ¿Listo, Alex? C***. Voy a correr su fecha para el día 30 de agosto y quedó pendiente el soporte de pago, b***. ¿Listo, Alex? Perfecto, si c***. Que tenga un excelente día. Gracias, Lomino. Gracias, hasta luego. Hasta luego."
1f5cda00-bbf3-4770-97dc-99760ddadc1b.wav,humano,145.0,"¿Para qué le dices? Buenos días. Buenos días por favor. ¿Solicita? Sí, es que necesito para administrar la información necesito saber si se ensn***. ¿Se está hablando con él? ¿Y ni qué llama? Sumerse, lo que pasa es que lo que le digo es tu información, que está bajo la reserva legal Pumela la ley 1581 Entonces no le puedo suministrar información a terceros Hablo con ese... Por eso pero de qué me van a pedir información o no bien? No, no, no, no, yo no le voy a pedir información Le voy a dar una información ¡Giaba con... ¡Giaba con... Mucho gusto, le está hablando Daniela Yo me estoy comunicando de... ¿Cómo se encuentra el día de hoy? Mmm... bien Sí señores, que lo sé llamando precisamente por el tema de su obligación pendiente ya que la fecha no registró un saldo total de 672.584 pesos y la idea principal pues en este caso es poder llegar un acuerdo de pago, bien sea por la totalidad o pues pagar ese valor en un periodo máximo de tres cuotas quisiera confirmar con usted si se encuentra interesada una acudir de esta oportunidad para poder solucionar el saldo total y esta oportunidad para poder solucionar Sí, sí, sí Sumerse realizaría el pago total o en dos cuotas cuénteme cómo le interesa ¿Y a dónde se encuentra la acudir? Señor Ahora viene una acudir En una acudir y cuando realizaría el pago de los 672.650 pesos Voy a pedir otra semana a la agua La otra semana La otra semana, sí Listo, perfecto, sí señor ¿Cómo fecha el límite de pago el día viernes 21 de agosto para el pago total de la obligación? Sumerse quiero confirmar para el tema del entorno del acuerdo de pago formal su correo es un un un Listo Sumerse Entonces en ese orden de ideas de correo le va a estar llegando la información Igual el día mañana me comunico con usted para confirmar el tema del acuerdo de pago Listo, ni el"
2a92a64c-6ea8-48a0-b47a-445a3c577199.wav,humano,626.0,"Música Música Buenas tardes Buenas tardes Por favor, ¿me analizaba el palico chamorino? ¿Qué le ha necesitado? Me analizaba el mucho burro, le habla a... Si no, lo estoy analizando, le resgunecemos Necesitamos, eh, actualmente, si compramos la cartera, de soluciones, de mentes con... ...en su encuentro de atarde de hoy Señora Reconectemos de su mentidad, que compra cartera Nosotros compramos la cartera, de estos créditos, de mientes con... Sí, señora Entonces, ya estoy llamando, ¿puedes llamar esa obligación? Porque, evidentemente, lo hicieron en el puerto de pago en el proceso virtual y pues, se las asoció el senero con usted dicho acuerdo, solo por una de las obligaciones que, pues, en este caso, sería para un pago único y un gen de peso La idea de esta llamada o el motivo es para valirte si no decides a realizar, porque la acorde por una de las obligaciones en este caso sería la tarjeta de crédito o esa que verifiquemos por ambas obligaciones Es que, oi, no, eso es un... un complique, porque me llamé el uno, me llamé el otro y yo no tenía quien creerle la verdad En la semana me llamaban más de cinco personas diferentes ¡******! Entonces, pues, uno ya no sabe ni qué Y el otro me hablaba que, por ejemplo, el acorde pago yo, por ejemplo, le dije tan raro que supone que me llaman quebo 50 y peguele 60 uno me dice en qué 50, otro que 60, otro no sé cuánto y usted me viene a decir que por el crédito que yo tengo con *** es un millón de pesos, o sea es rarísimo que sí que era un millón de pesos y que... o sea, no, que desinformación No, señora, ya tanto, lamento, ya pronto los cinco minutos que se me han presentado en el proceso de acorde de pago pero lo que pasa es que nuestra gente realizó el acorde de pago solo por una de las obligaciones que actualmente están por un saldo total de un millón de 148.855 esta es la obligación de la tarjeta de crédito que se nos detenía pendiente con el banco de *** y pues ésta se está manejando una campaña de cuentos donde la distorsión será el valor del millón de pesos y curiría la totalidad de crédito pero no se hace falta o pues en este caso le falta a la gente realizar el acuerdo sobre el crédito de lebranza que sube ser manejado este crédito es una totalidad a pagar de 45.964.571 pesos y sobre este crédito sobre el cual pues estamos paliando para poder negociar el acuerdo de pago y usted gusta unificar ambos créditos para hacer el acuerdo de pago yo le puedo hacer un acuerdo de pago por las dos obligaciones que les van actualmente 47 millones 13.426 y estas obligaciones nos manejamos la política de descuento donde usted podría cancelar el valor de 24 millones de pesos cerrados y un 24 millones de pesos que le generarían los respectivos pases salvos y se llamar reporte negativo en centrales de verbo y pues evitaría el tema de que lo estén llamando con esta manera no usted se me hace interés acudirte por las dos obligaciones o si pues desde continuar con el acuerdo de pago que realizó con nuestro agente sobre una de las obligaciones Mine su merce yo como le he hecho a todos los que me llamo yo no tengo un empleo yo no me puedo comprometer en estos momentos como le dije al último no exante pero el último que me llamo que él me dijo que no se ni en cuanto quedaba y que me llamaba a fin de mejar porque yo le hablé a él de que estaba esperando lo de un concurso que se ven las cosas entonces yo le llamo el 31 agosto para ver como cuadramos como arreglamos porque la verdad como le digo yo no me puedo comprometer porque yo no puedo quedar mal yo no puedo quedar mal porque yo no tengo el dinero debajo de la almazda yo no tengo plata si yo tuviera plata si yo tuviera un empleo claro yo una vez decía bueno hagamos el acuerdo por tanto porque pues igual no puede también proponer si de acuerdo a las entradas que uno tenga pero en esos momentos yo no puedo hacer una contrapropuesta porque no tengo el recurso si me hago entender yo entiendo la idea principal de esas maneras pues negociar se me dice que pronto no cuento para hacer o pago la totalidad de la obligación yo la entiendo uno a veces no tiene bajo el coche o guardados 20 millones de pesos pero si en cuanto podría pagarme suelmente que usted diga yo me comprometo a pagar ya que no se las acuerdo de pago sobre la totalidad de la obligación dejándole pues un valor de los correspondientes y eso que me estoy arriesgando hasta incumplirle porque yo no puedo pagar más de 400 millones mensuales porque es que yo no tengo un sueldo fijo yo hago refuerzo, yo hago clases dirigidas yo soy docente, yo soy de desemplea y que hago yo digamos yo hablo con los profes para los muchachos que han atrasado hablen con los papás y me los envidien a la casa y yo por niños cobros son 100 mil pesos en estos momentos cuento con 5 niños son 500 mil, todos esos mensualmente entonces a mi no me da para pagar la vez pasada me decía yo tenía que pagar una cota como mínimo de 1.7 millones o sea un mínimo ni siquiera yo me estoy ganando un mínimo de donde voy a sacar un mínimo bueno, solucionamos por una de las obligaciones no porque pues de pagar yo tendría que pagar todo igual a carnetelo que menos me preocupa a mi podríamos hacerlo siguiente el crédito mas grande yo se lo puedo diferir en cota digamos que el crédito mas pequeño se lo podría diferir en cota si usted logra conseguir pues ya lo considero exactamente a ver si le alcanzo a dejarme 400 para que usted vaya cubrón crédito y después miramos el crédito mas grande o sea yo la entiendo como si no pueda hacer el pago de todo pero en tu alimento el crédito mas pequeño tiene corrientes moratorios gastos de cobrancias en horarios y lo voy a contar por la entidad de capital para que me pague 2 cotas de 320 mil pesos sobre el crédito pequeño y ya después de cancelado el crédito pequeño verificamos para poder generar el acuerdo sobre el crédito grande no se si le parezco ser de opción me parece pero pues no se que tan legal sea que yo termine pagando los 600 y algo y me digan que no que sigo con la misma deuda no, su meso yo a usted le envio un acuerdo de pago formal por una de las obligaciones que es la obligación de la tarjeta de 174 de la tarjeta de 3 yo le envio a usted la fuerte pago formal usted realiza los pagos dentro de las 8 establecidas y cuando se unalice pues con esos 2 pagos retomamos entonces nos vuelvo a comunicar y miramos de pronto para decirme que políticas de desconto manejamos el crédito grande o si miramos el tema de cotas para el crédito grande pues me parece perfecto, me parece viable si la verdad no perfecto porque pues me toca mirad que como hago pero igual de todas maneras yo cumplo pero entonces que sea algo muy serio y que yo pagando las 2 cotas como su merce me lo está poniendo porque yo mas sacrificar como le digo para conseguir la plata porque yo no estoy trabajando yo no tengo un trabajo fin yo debo el reús que digo el otro diéndolo vulgarmente entonces lo único que espero es que cuando yo pague esas 2 cotas bueno yo pague esas 2 cotas y mi merce listo aquí esta opa si salvo que hemos listo con tarjeta y miremos entonces como hacemos con el crédito grande porque yo tengo toda la intención de pagar pero pues las cosas no se me han dado claro senor Elizavete, entiendo y pues de antemano esperamos a que se le pueda solucionar lo más pronto el tema de los 5 menores que ha venido generando senor Elizavete, quiero confirmar con como el futuro podría hacer el pago de la primera cota ahorita el 15 de agosto pues su merce yo estoy esperando que me pues no se si alcanza el 15 la verdad porque no le no me lo pueda poner otro dita más el antico para no quedarle mal para que fecha, para el 20 25 si pues no para el 20, yo para el 20 si para el 20 creo que puedo tener porque ya si para esa facia ya se cumplen varios refuerzos como si más o menos se cumplen los 5 que tengo entonces si alcanzaría para el 20 para el 20 de agosto, listo pero si para el 20 de agosto digamos que el motivo principal de la que marco también era informarle pues que sería sobre solo una de las obligaciones primero pago para el 20 de agosto y el segundo pago lo generaríamos para el siguiente mes el mismo dia el 20 septiembre pero es que el 20 no cae, bueno si el 20 es un domingo ah no fue entre el 21, el 21 en la mañana o el mismo el mismo 20 si se puede pues pero hay como sería para cancelar en quien pidamos si, yo la voy a ver, el 20 de agosto y el 2 de agosto ya se la vuelve y el 21 es anualante para el 20 si, si, si señora si, si señora listo, entonces acá ya que para el 20 de agosto, pero el 20 de septiembre 2 cuotas por el valor de 320 mil pesos si señora bueno si me siento yo la voy a ver el acuerdo de pago por whatsapp y cualquier cosa por eso me yo estamos volando ah bueno listo, hagas un beso, van muy severos bueno si para ti no me gusta el que tu me lo pones para estar muy bien bueno igualmente, bueno hasta luego"
2b377b6a-4fa1-4910-8d68-9ee05f7c302a.wav,humano,195.0,"Buenas partes. Por favor, las c**** per tomo. Buenas partes. Por favor, las c**** per tomo. Me alegra que se encuentre bien. Le quiero informar que a la fecha registro un saldo de 97920 pesos. En esta oportunidad estamos manejando la opción de que genere la cancelación de eso 97920 pesos. Entre las cuotas. Quisiera confirmar si se encuentra interesada en la cursa esta opción. En cuántas cuotas? En tres cuotas. Si, ni hagan. Sería que hayas mezamado por este corso. Quiero que me sanas en un descuento para que quede en 700 y algo. Y lo mismo en tres cuotas. Sino que ese corso y no puedo volverme a comunicar. Compré c****, pero lamentablemente digamos que hay dos opciones de descuento. Ya ahorita no se encuentran disponibles en nuestro sistema. Lo mínimo es los 977920 pesos. ¿Qué pagando serían tres cuotas de 326,000 pesos? ¿Súmero se podría pagar esta cuota para cuándo, para el 25? La primera sí. Entonces serían 326,000 todos los 25 de cada mes. En esta oportunidad voy a confirmar su correo electrónico, esperdomu, a26alobajime.com ¿Y se llegan? A ese correo le va a llegar el acuerdo de pago. En este caso para pagar a cuotas mensuales. Para que por favor visualice. Yo le voy a escribir a su merced por whatsapp. Y a ese mismo whatsapp su merced me escribe. Me confirma que le llegó el acuerdo, ¿listo? Vale, y a qué cuenta de pagar? Dentro del acuerdo de pago se le especifica cuáles son los medios de pago. Aquí mismo pues nos manejamos la opción de pago para que su merced pueda generar los respectivos pago. ¿Listo? ¿Listo si señora no se si tenga alguna duda adicional? Listo, perfecto. Primera cuota a 25 agosto, segunda cuota a 25 septiembre y tercera cuota a 25 octubre. Cada cuota por 325 mil 973 pesos. En este caso pues le agradezco mucho por haber atendido mi llamada. Y le deseo que tenga un excelente abrazo y tal. Que se muy bien. Hasta luego."
